original_brand,token_sort_brand,token_sort_score,token_set_brand,token_set_score,partial_ratio_brand,partial_ratio_score
uncle josh,uncle mike's,64,uncle mike's,67,n,100
uncle josh,uncle milton,64,uncle milton,67,posh,75
uncle josh,john paul,63,john paul,63,bounce,67
uncle josh,bounce,62,bounce,62,uco,67
uncle josh,jungle,62,jungle,62,gnc,67
ogx (organix),organix,78,organix,100,organix,100
ogx (organix),jobes organic,67,ogx,100,ogx,100
ogx (organix),organic,67,organix haircare,78,nix,100
ogx (organix),hydro-organics,64,jobes organic,67,n,100
ogx (organix),fit organic,64,organic,67,organic,86
j-b weld,j-b weld company,67,j-b weld company,100,j-b weld company,100
j-b weld,wet n wild 1,60,wet n wild 1,60,wild,75
j-b weld,wet 'n' wild,56,wet 'n' wild,56,kjb,67
j-b weld,wet n wild,56,wet n wild,56,jbl,67
j-b weld,wet n wild beauty,56,wet n wild beauty,56,wella,67
uniden,unite,73,unite,73,n,100
uniden,bonide,67,bonide,67,unite,80
uniden,unique,67,unique,67,tide,75
uniden,bundle,67,bundle,67,tide +,75
uniden,glidden,62,glidden,62,denaq,75
metabotic,metabo,80,metabo,80,ic,100
metabotic,metabolife,74,metabolife,74,metabo,100
metabotic,metaboup,71,metaboup,71,meta,100
metabotic,smartbiotics,67,smartbiotics,67,cabot,80
metabotic,ematic,67,ematic,67,ice,80
h2o+,h2old,75,h2old,75,h2old,100
h2o+,h2ogo!,75,h2ogo!,75,h2ogo!,100
h2o+,h2opal,67,h2opal,67,h2opal,100
h2o+,hugo,57,hugo,57,shoreline marine,67
h2o+,homs,57,homs,57,head & shoulders,67
mary kate and ashley,mary-kate and ashley,100,mary-kate & ashley,100,n,100
mary kate and ashley,mary-kate & ashley,89,mary-kate and ashley,100,mary-kate and ashley,100
mary kate and ashley,curve and ed hardy,58,alyssa ashley,63,marykate,88
mary kate and ashley,procter and gamble,58,curve and ed hardy,58,mary-kate & ashley,83
mary kate and ashley,mr. heater,55,procter and gamble,58,marcy,80
e.p.t,pet head,62,e-t psn & violet eyes & white diamonds,75,onetime patch & prime,80
e.p.t,e.l.f,60,dewalt p.t.a.,75,creative options,80
e.p.t,e.l.f.,60,pet head,62,apline x-treme,80
e.p.t,dewalt p.t.a.,59,o.p.i,60,close up toothpaste,80
e.p.t,st. joseph,57,e.l.f,60,nature's truth,80
loreal/softsheen optimum,softsheen carson,60,optimum,100,optimum,100
loreal/softsheen optimum,softsheen-carson,60,softsheen,100,n,100
loreal/softsheen optimum,softsheen carson hair color,59,softsheen carson,72,softsheen,100
loreal/softsheen optimum,softsheen,55,softsheen-carson,72,soft sheen,90
loreal/softsheen optimum,l'oreal paris,54,lp loreal ahc,63,l'oreal,86
"ames research laboratories, inc.",ames research laboratories,93,ames research laboratories,100,n,100
"ames research laboratories, inc.",elco laboratories inc,71,ames,100,ames research laboratories,100
"ames research laboratories, inc.",trigg laboratories inc,69,ds laboratories,89,ames,100
"ames research laboratories, inc.","nutrex research, inc.",65,elco laboratories inc,86,ds laboratories,87
"ames research laboratories, inc.",roebic laboratories,65,trigg laboratories inc,84,elco laboratories inc,86
ecoraider,cortaid,75,cortaid,75,raid,100
ecoraider,corsair,75,corsair,75,eco,100
ecoraider,spectracide,70,spectracide,70,cortaid,86
ecoraider,freerider,67,freerider,67,cobra,80
ecoraider,weider,67,weider,67,craig,80
